"","date","normTitleCategory","clicks.sum"
"1",2016-10-01,"accounting",18631
"2",2016-10-01,"admin",58586
"3",2016-10-01,"agriculture",276
"4",2016-10-01,"arch",1138
"5",2016-10-01,"arts",4150
"6",2016-10-01,"aviation",568
"7",2016-10-01,"care",6971
"8",2016-10-01,"childcare",11096
"9",2016-10-01,"construction",9641
"10",2016-10-01,"customer",34259
"11",2016-10-01,"driver",24009
"12",2016-10-01,"education",19662
"13",2016-10-01,"engchem",445
"14",2016-10-01,"engcivil",1355
"15",2016-10-01,"engelectric",2001
"16",2016-10-01,"engid",4241
"17",2016-10-01,"engmech",1395
"18",2016-10-01,"finance",3356
"19",2016-10-01,"food",27980
"20",2016-10-01,"hospitality",2462
"21",2016-10-01,"hr",12032
"22",2016-10-01,"install",35674
"23",2016-10-01,"insurance",3987
"24",2016-10-01,"legal",5777
"25",2016-10-01,"management",50210
"26",2016-10-01,"manufacturing",15201
"27",2016-10-01,"marketing",9903
"28",2016-10-01,"math",3992
"29",2016-10-01,"meddental",2942
"30",2016-10-01,"meddr",4609
"31",2016-10-01,"media",4187
"32",2016-10-01,"medinfo",9575
"33",2016-10-01,"mednurse",36233
"34",2016-10-01,"medtech",22474
"35",2016-10-01,"military",728
"36",2016-10-01,"mining",129
"37",2016-10-01,"personal",2580
"38",2016-10-01,"pharmacy",4605
"39",2016-10-01,"project",8180
"40",2016-10-01,"protective",10238
"41",2016-10-01,"realestate",3265
"42",2016-10-01,"retail",42090
"43",2016-10-01,"sales",33623
"44",2016-10-01,"sanitation",14949
"45",2016-10-01,"science",7600
"46",2016-10-01,"service",21896
"47",2016-10-01,"socialscience",797
"48",2016-10-01,"sports",2552
"49",2016-10-01,"tech",92
"50",2016-10-01,"techhelp",8118
"51",2016-10-01,"techinfo",12964
"52",2016-10-01,"techsoftware",17411
"53",2016-10-01,"therapy",7727
"54",2016-10-01,"transport",2936
"55",2016-10-01,"uncategorized",16402
"56",2016-10-01,"veterinary",4259
"57",2016-10-01,"warehouse",22783
"58",2016-10-01,NA,36574
"59",2016-10-02,"accounting",19064
"60",2016-10-02,"admin",62140
"61",2016-10-02,"agriculture",311
"62",2016-10-02,"arch",1184
"63",2016-10-02,"arts",4283
"64",2016-10-02,"aviation",615
"65",2016-10-02,"care",7249
"66",2016-10-02,"childcare",13174
"67",2016-10-02,"construction",11034
"68",2016-10-02,"customer",40333
"69",2016-10-02,"driver",25999
"70",2016-10-02,"education",20615
"71",2016-10-02,"engchem",511
"72",2016-10-02,"engcivil",1393
"73",2016-10-02,"engelectric",2060
"74",2016-10-02,"engid",4619
"75",2016-10-02,"engmech",1490
"76",2016-10-02,"finance",3408
"77",2016-10-02,"food",31534
"78",2016-10-02,"hospitality",2772
"79",2016-10-02,"hr",12884
"80",2016-10-02,"install",39419
"81",2016-10-02,"insurance",4147
"82",2016-10-02,"legal",5781
"83",2016-10-02,"management",55019
"84",2016-10-02,"manufacturing",15851
"85",2016-10-02,"marketing",10843
"86",2016-10-02,"math",3963
"87",2016-10-02,"meddental",3183
"88",2016-10-02,"meddr",4714
"89",2016-10-02,"media",4602
"90",2016-10-02,"medinfo",10423
"91",2016-10-02,"mednurse",37899
"92",2016-10-02,"medtech",23890
"93",2016-10-02,"military",605
"94",2016-10-02,"mining",160
"95",2016-10-02,"personal",3174
"96",2016-10-02,"pharmacy",5617
"97",2016-10-02,"project",8854
"98",2016-10-02,"protective",11259
"99",2016-10-02,"realestate",3701
"100",2016-10-02,"retail",46062
"101",2016-10-02,"sales",38563
"102",2016-10-02,"sanitation",16246
"103",2016-10-02,"science",8018
"104",2016-10-02,"service",22680
"105",2016-10-02,"socialscience",768
"106",2016-10-02,"sports",2753
"107",2016-10-02,"tech",125
"108",2016-10-02,"techhelp",8768
"109",2016-10-02,"techinfo",14582
"110",2016-10-02,"techsoftware",17217
"111",2016-10-02,"therapy",7975
"112",2016-10-02,"transport",3676
"113",2016-10-02,"uncategorized",17627
"114",2016-10-02,"veterinary",4301
"115",2016-10-02,"warehouse",24340
"116",2016-10-02,NA,39613
"117",2016-10-03,"accounting",27986
"118",2016-10-03,"admin",89053
"119",2016-10-03,"agriculture",375
"120",2016-10-03,"arch",1483
"121",2016-10-03,"arts",5626
"122",2016-10-03,"aviation",849
"123",2016-10-03,"care",9353
"124",2016-10-03,"childcare",15378
"125",2016-10-03,"construction",15616
"126",2016-10-03,"customer",54513
"127",2016-10-03,"driver",34578
"128",2016-10-03,"education",26592
"129",2016-10-03,"engchem",839
