"","stateProvince","normTitleCategory","mean.estimatedSalary"
"1","AK","accounting",58853.9325842697
"2","AK","admin",35782.2617680827
"3","AK","arch",78500
"4","AK","arts",49905.3333333333
"5","AK","aviation",47267.1974522293
"6","AK","care",26329.6
"7","AK","childcare",27918.8824662813
"8","AK","construction",37182.8178694158
"9","AK","customer",25851.8284993695
"10","AK","driver",31101.6216216216
"11","AK","education",47805.9760956175
"12","AK","engchem",90700
"13","AK","engcivil",73260.5263157895
"14","AK","engelectric",94872.5490196078
"15","AK","engid",43887.1794871795
"16","AK","engmech",27100
"17","AK","finance",42323.9130434783
"18","AK","food",24179.3526785714
"19","AK","hospitality",41260
"20","AK","hr",45282.8125
"21","AK","install",36692.7019498607
"22","AK","insurance",35525.2747252747
"23","AK","legal",52694.5454545455
"24","AK","management",54783.1094049904
"25","AK","manufacturing",28931.0526315789
"26","AK","marketing",64504
"27","AK","math",70200
"28","AK","meddental",30713.2450331126
"29","AK","meddr",132004.897959184
"30","AK","media",39088.5714285714
"31","AK","medinfo",33043.8848920863
"32","AK","mednurse",66639.3430099312
"33","AK","medtech",46633.6124401914
"34","AK","military",43420.8333333333
"35","AK","personal",51930.2521008403
"36","AK","pharmacy",65356.4766839378
"37","AK","project",72182.3113207547
"38","AK","protective",43221.3572854291
"39","AK","realestate",64424.2424242424
"40","AK","retail",24314.8376259798
"41","AK","sales",48557.3529411765
"42","AK","sanitation",22225.7731958763
"43","AK","science",43232.5481798715
"44","AK","service",42957.3033707865
"45","AK","socialscience",60015.4929577465
"46","AK","sports",44127.868852459
"47","AK","techhelp",55708.4615384615
"48","AK","techinfo",63019.5121951219
"49","AK","techsoftware",74469.7749196142
"50","AK","therapy",64505.7195571956
"51","AK","transport",30740
"52","AK","uncategorized",29671.9471947195
"53","AK","veterinary",24892.0353982301
"54","AK","warehouse",25020.9183673469
"55","AK",NA,42836.5051133837
"56","AL","accounting",46988.0439043512
"57","AL","admin",35737.7001455604
"58","AL","arch",41523.0769230769
"59","AL","arts",40345.0638792102
"60","AL","aviation",57912.5925925926
"61","AL","care",24214.693877551
"62","AL","childcare",27508.515936255
"63","AL","construction",34760.8695652174
"64","AL","customer",26571.9912869849
"65","AL","driver",40511.5777666999
"66","AL","education",41604.5947992931
"67","AL","engchem",55150.5154639175
"68","AL","engcivil",65920.2380952381
"69","AL","engelectric",70844.7037701975
"70","AL","engid",80421.8897637795
"71","AL","engmech",78458.8235294118
"72","AL","finance",45100.2192982456
"73","AL","food",24581.1239348506
"74","AL","hospitality",29412.2950819672
"75","AL","hr",59615.8359621451
"76","AL","install",36830.2928144866
"77","AL","insurance",41377.0022883295
"78","AL","legal",62191.9642857143
