state,clickratio,numpost,unemploy,population
2,0.24240206810970757,26777,7.3,"739,795"
1,0.21791615161443056,160794,3.7,"4,874,747"
4,0.20336539377062676,95177,3.8,"3,004,279"
3,0.2451229897183676,283528,4.9,"7,016,270"
5,0.18585475823923706,1611838,4.3,"39,536,653"
6,0.23547819526012484,300406,3,"5,607,154"
7,0.1284202959491898,177865,4.6,"3,588,184"
8,0.16550563258426462,45904,4.4,"961,939"
9,0.23548358235989245,867812,3.9,"20,984,400"
10,0.19123409561123014,461470,4.5,"10,429,379"
11,0.21403503520731534,52297,2.1,"1,427,538"
15,0.2130402989443053,127896,2.9,"3,145,711"
12,0.21926770234540455,57227,3,"1,716,943"
13,0.22259477746340778,593178,4.7,"12,802,023"
14,0.24383859764741803,280988,3.2,"6,666,818"
16,0.2508387704010091,121057,3.4,"2,913,123"
17,0.26187655503245716,155660,4.1,"4,454,189"
18,0.22306561080256115,141103,4.5,"4,684,333"
21,0.1344583144484844,438037,3.5,"6,859,819"
20,0.15117787212515177,307458,4.2,"6,052,177"
19,0.15656935309971043,55248,2.9,"1,335,907"
22,0.17026242648276474,426339,4.8,"9,962,311"
23,0.186779815360505,294308,3.2,"5,576,606"
25,0.16481904902661831,264120,3.7,"6,113,532"
24,0.1714557820051199,71963,4.5,"2,984,100"
26,0.3269112366642867,32542,4.1,"1,050,493"
33,0.21191723679387067,465441,4.5,"10,273,419"
34,0.318908718077837,34349,2.6,"755,393"
27,0.40327334051855535,76723,2.8,"1,920,076"
29,0.1437354211251532,77322,2.6,"1,342,795"
30,0.09843005370971368,412227,4.6,"9,005,644"
31,0.3102320449416995,61853,5.8,"2,088,070"
28,0.38940587629049644,115867,4.9,"2,998,039"
32,0.1864713655690668,843949,4.6,"19,849,399"
35,0.20897561964716405,530968,4.5,"11,658,609"
36,0.2577866781556006,133688,4.1,"3,930,864"
37,0.2529553982004623,164283,4.1,"4,142,776"
38,0.20676263668907505,608127,4.8,"12,805,537"
39,0.14054264819431114,50449,4.5,"1,059,639"
40,0.18308944125684687,212875,4.4,"5,024,369"
41,0.33894204394099536,29933,3.4,"869,666"
42,0.22885174512429268,276187,3.4,"6,715,984"
43,0.27665214834558965,1125462,4,"28,304,596"
44,0.21284033957675377,129460,3.1,"3,101,833"
46,0.18909505321580172,443887,3.5,"8,470,020"
45,0.14042501332479762,28938,2.8,"623,657"
47,0.2126242368763699,330191,4.7,"7,405,743"
49,0.22815754126839716,276375,2.9,"5,795,483"
48,0.18587417159578526,55397,5.4,"1,815,857"
50,0.30933549029367846,16858,4,"579,315"
