"","X","state","clickratio","numpost","unemploy","population","gdp","numpost.ratio","pop.ratio","click.ratio","sumclick","realgdp"
"1",1,"AK",0.242402068109708,26777,7.3,"739,795",0.3,0.00191925042508849,0.00227611577915591,0.0124641867286417,5035088,5.1
"2",2,"AL",0.217916151614431,160794,3.7,"4,874,747",1.1,0.0115249636946513,0.0149980583352049,0.00170161271850417,687391,18.7
"3",3,"AR",0.203365393770627,95177,3.8,"3,004,279",0.7,0.00682184328747235,0.0092432185090285,0.0202992059030901,8200157,11.9
"4",4,"AZ",0.245122989718368,283528,4.9,"7,016,270",1.7,0.0203219641679236,0.021586848867346,0.00675969428129566,2730676,28.9
"5",5,"CA",0.185854758239237,1611838,4.3,"39,536,653",14.2,0.115529027399402,0.121641805835822,0.111641289262743,45099109,241.4
"6",6,"CO",0.235478195260125,300406,3,"5,607,154",1.7,0.021531700459317,0.0172514435695796,0.0204203081517404,8249078,28.9
"7",7,"CT",0.12842029594919,177865,4.6,"3,588,184",1.4,0.0127485333255542,0.0110397099479109,0.0130927767369257,5289016,23.8
"8",8,"DE",0.165505632584265,45904,4.4,"961,939",0.4,0.00329018454319983,0.00295958277155895,0.0033133165293618,1338462,6.8
"9",9,"FL",0.235483582359892,867812,3.9,"20,984,400",5,0.06220071516215,0.0645623773560503,0.0677880487510159,27383960,85
"10",10,"GA",0.19123409561123,461470,4.5,"10,429,379",2.9,0.0330760164942146,0.0320879082836425,0.0380830492095092,15384197,49.3
"11",11,"HI",0.214035035207315,52297,2.1,"1,427,538",0.5,0.00374840495503054,0.00439208397886532,0.00330813785549625,1336370,8.5
"12",12,"IA",0.213040298944305,127896,2.9,"3,145,711",1,0.00916698854864687,0.00967836014539746,0.00376374728425033,1520420,17
"13",13,"ID",0.219267702345405,57227,3,"1,716,943",0.4,0.00410176435286025,0.00528249184464789,0.0427998234884165,17289606,6.8
"14",14,"IL",0.222594777463408,593178,4.7,"12,802,023",4.3,0.0425162314170049,0.0393877852045727,0.0186159042030293,7520163,73.1
"15",15,"IN",0.243838597647418,280988,3.2,"6,666,818",1.9,0.0201399088189403,0.0205116953298693,0.00792495283675018,3201399,32.3
"16",16,"KS",0.250838770401009,121057,3.4,"2,913,123",0.8,0.00867680093774273,0.0089627602605073,0.00773241360415543,3123620,13.6
"17",17,"KY",0.261876555032457,155660,4.1,"4,454,189",1.1,0.0111569825286355,0.0137041340726048,0.0108259558292835,4373301,18.7
"18",18,"LA",0.223065610802561,141103,4.5,"4,684,333",1.3,0.0101136046880256,0.0144122145406778,0.0112663807525446,4551217,22.1
"19",19,"MA",0.134458314448484,438037,3.5,"6,859,819",2.7,0.0313964483868427,0.0211054985070912,0.00333144931428776,1345787,45.9
"20",20,"MD",0.151177872125152,307458,4.2,"6,052,177",2.1,0.0220371549164155,0.0186206389174629,0.0218630663918639,8831901,35.7
"21",21,"ME",0.15656935309971,55248,2.9,"1,335,907",0.3,0.00395991886638865,0.00411016430522622,0.0287233635918478,11603217,5.1
"22",22,"MI",0.170262426482765,426339,4.8,"9,962,311",2.6,0.0305579903268402,0.0306508874268662,0.0303901588878286,12276543,44.2
"23",23,"MN",0.186779815360505,294308,3.2,"5,576,606",1.8,0.0210946242710887,0.017157457012734,0.0185504900266923,7493738,30.6
"24",24,"MO",0.164819049026618,264120,3.7,"6,113,532",1.6,0.0189308892808893,0.0188094088924291,0.00568979808402583,2298476,27.2
"25",25,"MS",0.17145578200512,71963,4.5,"2,984,100",0.6,0.00515797207830014,0.00918113409333552,0.0182232681416106,7361552,10.2
